Rank	NickName	HeroId	Level	FightScore	EquipInfo	XSoulInfo	PartnerInfo	SkillInfo
1463	狩猎者诺顿	1	60	13950	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160801*60*1|160401*60*2|161601*60*3|160101*60*4
1464	约翰居里	2	60	13950	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120241*60*1|120341*60*2|120541*60*3|120841*60*4
1465	窦弘益	1	60	13950	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160201*60*1|160401*60*2|161001*60*3|161601*60*4
1466	窦德容	2	60	13950	55207*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120141*60*1|120341*60*2|120641*60*3|120541*60*4
1467	保罗阿尔芭	1	60	13950	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160201*60*1|160401*60*2|161001*60*3|161601*60*4
1468	慕容兴为	2	60	13950	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120141*60*1|120341*60*2|120641*60*3|120541*60*4
1469	肖恩阿尔芭	1	60	13950	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160401*60*1|161001*60*2|161601*60*3|160101*60*4
1470	宇文鸿志	2	60	13950	55207*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120341*60*1|120641*60*2|120541*60*3|120841*60*4
1471	甄艺变	1	60	13950	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160401*60*1|161001*60*2|161601*60*3|160101*60*4
1472	窦明轩	2	60	13950	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120341*60*1|120641*60*2|120541*60*3|120841*60*4
1473	蔺文轩	1	60	13950	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160801*60*1|160401*60*2|161001*60*3|161601*60*4
1474	轩辕经艺	2	60	13950	55207*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120241*60*1|120341*60*2|120641*60*3|120541*60*4
1475	殷秀华	1	60	13950	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160801*60*1|160401*60*2|161001*60*3|161601*60*4
1476	长孙盼	2	60	13950	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120241*60*1|120341*60*2|120641*60*3|120541*60*4
1477	窦奇水	1	60	13950	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160201*60*1|160801*60*2|160401*60*3|161001*60*4
1478	夏侯乐生	2	60	13950	55207*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120141*60*1|120241*60*2|120341*60*3|120641*60*4
1479	夏侯弘亮	1	60	13950	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160201*60*1|160801*60*2|160401*60*3|161001*60*4
1480	杰克	2	60	13950	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120141*60*1|120241*60*2|120341*60*3|120641*60*4
1481	皇甫经略	1	60	13950	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	160001*1*0|160801*60*1|160401*60*2|161601*60*3|160101*60*4
1482	东方元凯	2	60	13950	55207*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301020*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	120001*1*0|120241*60*1|120341*60*2|120541*60*3|120841*60*4
1483	爱乐小主I乐语	1	60	13950	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	160001*1*0|160801*60*1|160401*60*2|161601*60*3|160101*60*4
1484	尉迟星津	2	60	13950	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	120001*1*0|120241*60*1|120341*60*2|120541*60*3|120841*60*4
1485	龙景砚	1	60	13950	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	160001*1*0|160201*60*1|160401*60*2|161001*60*3|161601*60*4
1486	诸葛阳曜	2	60	13950	55207*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301020*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	120001*1*0|120141*60*1|120341*60*2|120641*60*3|120541*60*4
1487	穆林淼	1	60	13950	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	160001*1*0|160201*60*1|160401*60*2|161001*60*3|161601*60*4
1488	长孙宣	2	60	13950	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	120001*1*0|120141*60*1|120341*60*2|120641*60*3|120541*60*4
1489	詹妮弗琼斯	1	60	13950	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	160001*1*0|160401*60*1|161001*60*2|161601*60*3|160101*60*4
1490	米碧莲	2	60	13950	55207*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301020*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	120001*1*0|120341*60*1|120641*60*2|120541*60*3|120841*60*4
1491	我爱大卫	1	60	13950	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	160001*1*0|160401*60*1|161001*60*2|161601*60*3|160101*60*4
1492	班杰明欧文	2	60	13950	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	120001*1*0|120341*60*1|120641*60*2|120541*60*3|120841*60*4
1493	褚正初	1	60	13950	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	160001*1*0|160801*60*1|160401*60*2|161001*60*3|161601*60*4
1494	鬼影手X同方	2	60	13950	55207*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301020*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	120001*1*0|120241*60*1|120341*60*2|120641*60*3|120541*60*4
1495	晏颜萁	1	60	13950	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	160001*1*0|160801*60*1|160401*60*2|161001*60*3|161601*60*4
1496	莎拉阿尔芭	2	60	13950	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	120001*1*0|120241*60*1|120341*60*2|120641*60*3|120541*60*4
1497	甄林森	1	60	13950	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	160001*1*0|160201*60*1|160801*60*2|160401*60*3|161001*60*4
1498	沃伦牛顿	2	60	13950	55207*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301020*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	120001*1*0|120141*60*1|120241*60*2|120341*60*3|120641*60*4
1499	汤姆克鲁斯	1	60	13950	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	160001*1*0|160201*60*1|160801*60*2|160401*60*3|161001*60*4
1500	冯浩壤	2	60	13950	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	120001*1*0|120141*60*1|120241*60*2|120341*60*3|120641*60*4
1501	窦立诚	1	60	13950	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	160001*1*0|160801*60*1|160401*60*2|161601*60*3|160101*60*4
1502	邬云川	2	60	13950	55207*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301020*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	120001*1*0|120241*60*1|120341*60*2|120541*60*3|120841*60*4
1503	长孙雅	1	60	13950	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	160001*1*0|160801*60*1|160401*60*2|161601*60*3|160101*60*4
1504	里奥内尔居里	2	60	13950	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	120001*1*0|120241*60*1|120341*60*2|120541*60*3|120841*60*4
1505	罗恩琼斯	1	60	13950	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	160001*1*0|160201*60*1|160401*60*2|161001*60*3|161601*60*4
1506	肖恩普希金	2	60	13950	55207*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301020*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	120001*1*0|120141*60*1|120341*60*2|120641*60*3|120541*60*4
1507	巴顿阿尔芭	1	60	13950	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	160001*1*0|160201*60*1|160401*60*2|161001*60*3|161601*60*4
1508	比尔阿尔芭	2	60	13950	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	120001*1*0|120141*60*1|120341*60*2|120641*60*3|120541*60*4
1509	席梓诺	1	60	13950	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	160001*1*0|160401*60*1|161001*60*2|161601*60*3|160101*60*4
1510	戴安娜雨果	2	60	13950	55207*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301020*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	120001*1*0|120341*60*1|120641*60*2|120541*60*3|120841*60*4
1511	含芙	1	60	13950	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	160001*1*0|160401*60*1|161001*60*2|161601*60*3|160101*60*4
1512	诸葛波涛	2	60	13950	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	120001*1*0|120341*60*1|120641*60*2|120541*60*3|120841*60*4
1513	派克	1	60	13950	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	160001*1*0|160801*60*1|160401*60*2|161001*60*3|161601*60*4
1514	柴梦瑶	2	60	13950	55207*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301020*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	120001*1*0|120241*60*1|120341*60*2|120641*60*3|120541*60*4
1515	迈克诺顿	1	60	13950	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	160001*1*0|160801*60*1|160401*60*2|161001*60*3|161601*60*4
1516	龙俊熙	2	60	13950	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	120001*1*0|120241*60*1|120341*60*2|120641*60*3|120541*60*4
1517	专情的普希金	1	60	13950	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	160001*1*0|160201*60*1|160801*60*2|160401*60*3|161001*60*4
1518	茱丽叶克林顿	2	60	13950	55207*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301020*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	120001*1*0|120141*60*1|120241*60*2|120341*60*3|120641*60*4
1519	维克多爱迪生	1	60	13950	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	160001*1*0|160201*60*1|160801*60*2|160401*60*3|161001*60*4
1520	布莱迪	2	60	13950	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10007*9*4|10006*9*4|10005*9*4	120001*1*0|120141*60*1|120241*60*2|120341*60*3|120641*60*4
1521	百里嘉瑞	1	60	13725	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160801*60*1|160401*60*2|161601*60*3|160101*60*4
1522	丹尼尔加纳	2	60	13725	55207*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120241*60*1|120341*60*2|120541*60*3|120841*60*4
1523	窦元龙	1	60	13725	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160801*60*1|160401*60*2|161601*60*3|160101*60*4
1524	长孙柳	2	60	13725	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120241*60*1|120341*60*2|120541*60*3|120841*60*4
1525	上官鸿风	1	60	13725	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160201*60*1|160401*60*2|161001*60*3|161601*60*4
1526	百里星海	2	60	13725	55207*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120141*60*1|120341*60*2|120641*60*3|120541*60*4
1527	夏侯晗昱	1	60	13725	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160201*60*1|160401*60*2|161001*60*3|161601*60*4
1528	蔺亮	2	60	13725	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120141*60*1|120341*60*2|120641*60*3|120541*60*4
1529	约翰费恩斯	1	60	13725	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160401*60*1|161001*60*2|161601*60*3|160101*60*4
1530	史蒂芬邦德	2	60	13725	55207*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120341*60*1|120641*60*2|120541*60*3|120841*60*4
1531	诸葛华藏	1	60	13725	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160401*60*1|161001*60*2|161601*60*3|160101*60*4
1532	大卫贝尔	2	60	13725	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120341*60*1|120641*60*2|120541*60*3|120841*60*4
1533	司徒思博	1	60	13725	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160801*60*1|160401*60*2|161001*60*3|161601*60*4
1534	宗政弘和	2	60	13725	55207*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120241*60*1|120341*60*2|120641*60*3|120541*60*4
1535	尉迟泰和	1	60	13725	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160801*60*1|160401*60*2|161001*60*3|161601*60*4
1536	司徒刚洁	2	60	13725	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120241*60*1|120341*60*2|120641*60*3|120541*60*4
1537	凯里乔治	1	60	13725	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160201*60*1|160801*60*2|160401*60*3|161001*60*4
1538	专情的康纳利	2	60	13725	55207*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120141*60*1|120241*60*2|120341*60*3|120641*60*4
1539	应正芬	1	60	13725	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	160001*1*0|160201*60*1|160801*60*2|160401*60*3|161001*60*4
1540	苏珊丘吉尔	2	60	13725	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10008*9*4|10002*9*4|10001*9*4	120001*1*0|120141*60*1|120241*60*2|120341*60*3|120641*60*4
1541	詹姆斯琼斯	1	60	13725	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160801*60*1|160401*60*2|161601*60*3|160101*60*4
1542	托马斯达蒙	2	60	13725	55207*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120241*60*1|120341*60*2|120541*60*3|120841*60*4
1543	夏侯锐泽	1	60	13725	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160801*60*1|160401*60*2|161601*60*3|160101*60*4
1544	令狐元忠	2	60	13725	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120241*60*1|120341*60*2|120541*60*3|120841*60*4
1545	长孙旭	1	60	13725	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160201*60*1|160401*60*2|161001*60*3|161601*60*4
1546	布莱克	2	60	13725	55207*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120141*60*1|120341*60*2|120641*60*3|120541*60*4
1547	我爱茱丽叶	1	60	13725	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160201*60*1|160401*60*2|161001*60*3|161601*60*4
1548	史蒂芬德尼罗	2	60	13725	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120141*60*1|120341*60*2|120641*60*3|120541*60*4
1549	应晓丹	1	60	13725	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160401*60*1|161001*60*2|161601*60*3|160101*60*4
1550	尉迟光临	2	60	13725	55207*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120341*60*1|120641*60*2|120541*60*3|120841*60*4
1551	端木嘉德	1	60	13725	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160401*60*1|161001*60*2|161601*60*3|160101*60*4
1552	肖恩琼斯	2	60	13725	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120341*60*1|120641*60*2|120541*60*3|120841*60*4
1553	东方博艺	1	60	13725	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160801*60*1|160401*60*2|161001*60*3|161601*60*4
1554	尉迟飞虎	2	60	13725	55207*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120241*60*1|120341*60*2|120641*60*3|120541*60*4
1555	宗政鸿羲	1	60	13725	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160801*60*1|160401*60*2|161001*60*3|161601*60*4
1556	诸葛学林	2	60	13725	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120241*60*1|120341*60*2|120641*60*3|120541*60*4
1557	杰森德普	1	60	13725	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160201*60*1|160801*60*2|160401*60*3|161001*60*4
1558	姬佳宸	2	60	13725	55207*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120141*60*1|120241*60*2|120341*60*3|120641*60*4
1559	维多利亚康纳利	1	60	13725	55101*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301010*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	160001*1*0|160201*60*1|160801*60*2|160401*60*3|161001*60*4
1560	尼古拉斯华盛顿	2	60	13725	55107*31*55009|55102*31*55033|55103*31*55033|55104*31*55033|55105*31*55009|55106*31*55009|302011*1*0	301020*9*7200*-1	10005*9*4|10002*9*4|10001*9*4	120001*1*0|120141*60*1|120241*60*2|120341*60*3|120641*60*4
1561	狩猎者卡尔	1	60	13725	55201*31*54009|55202*31*54024|55203*31*54024|55204*31*54024|55205*31*54009|55206*31*54009|302011*1*0	301010*9*7200*-1	10004*9*4|10003*9*4|10005*9*4	160001*1*0|160801*60*1|160401*60*2|161601*60*3|160101*60*4
